,caption,i-e,s-n,t-f,j-p
23,"If tonight's workout was an example of the ""easy week"" I don't think I want to know what's coming. #dedicatedendurancetraining",1.0,0.0,0.0,1.0
24,When all the suffering on the bike means you can fit into your favourite stolen shirt from your ex once again! #dedicatedendurancetraining,1.0,0.0,0.0,1.0
25,Camilo did a series called people. @cg2097 It took him 2 days :),1.0,0.0,0.0,1.0
26,Roque Dalton #sorrygringosquienlosmandaasermonolingual #poesía,1.0,0.0,0.0,1.0
27,Totally coincidence I am sure. #ispatriarchythathardtoget?,1.0,0.0,0.0,1.0
28,Blu chillin' on the roof. #bushwicksummer,1.0,0.0,0.0,1.0
29,Mi mundo completo. #messkollective,1.0,0.0,0.0,1.0
30,Dinner with friends.,1.0,0.0,0.0,1.0
31,Comrade Detective does not fuck around.,1.0,0.0,0.0,1.0
32,"Aww, it's ok camilito :)",1.0,0.0,0.0,1.0
33,"If you are woke this is no news, but there are plenty in denial about what this country is all about. #whitesupremacy #alllivesmattermyass",1.0,0.0,0.0,1.0
34,Had an awesome race at #granoguecx as did all of #dedicatedendurancetraining. This aggressive technical descent was definitely my favourite section :) @bikerace.pics,1.0,0.0,0.0,1.0
35,"#nittanycx was, like always, a blast! Not even the crashes that dampened day 1 could prevent me from hitting the after-burners on this section that led to my favourite part of the course! All of us from #dedicatedendurancetraining had a great weekend :) @sgarabito  thanks for the photo!",1.0,0.0,0.0,1.0
36,#hippocross @rozshambo,1.0,0.0,0.0,1.0
37,"I am sure you are all going to get sick of my cyclocross season race photos, but everyone likes cats right?  So  close to podium @ #hippocross but ended up with 6th. Hard not to have a good time at this race though!",1.0,0.0,0.0,1.0
38,"Fuck colonialism, we need a Puerto Rico libre.",1.0,0.0,0.0,1.0
39,I feel like this is well known. #trumprapeschildren,1.0,0.0,0.0,1.0
40,You know you are in Canada when even the buses say sorry.,1.0,0.0,0.0,1.0
41,"First CX race in Canada is in the books, the course was challenging and fun even more so with no pre-ride. Can’t wait for the mud fest this Saturday! #dedicatedendurancetraining #aldergrovecx #norcobikes",1.0,0.0,0.0,1.0
42,"I do, I do like it! #vancouverisawesome",1.0,0.0,0.0,1.0
43,Glorious muthafucka. #vancouverisawesome,1.0,0.0,0.0,1.0
44,It’s cute how prior to racing #junkyardcx in Vancouver i thought I had raced in mud. This awesome challenging course was 75% mud!! #dedicatedendurancetraining #norcobikes,1.0,0.0,0.0,1.0
45,#brooklynnights,1.0,0.0,0.0,1.0
46,"#hpcx men’s elite podium, day 2.",1.0,0.0,0.0,1.0
47,"Camilo’s 2nd grade teacher said some bullshit to him in class to justify treating animals as objects, literally saying animals are “objects”. Now, we all know that we do treat animals as objects in our own little narrative to justify their exploitation; but at least at some level we know this to be bullshit.  Sure, it must be hard to be called on your bullshit by a 7 year old, but i have never been more proud of my son for doing so.  He has been fuming over the incident all week, and last night he decided that he was going to address the incident by making his teacher, who he otherwise likes, this card expressing his thoughts. #fightthepower #veganasfuck",1.0,0.0,0.0,1.0
48,CX is fun? #slyfoxcx,1.0,0.0,0.0,1.0
49,This steep ass hill was fun in its own way. #slyfoxcx,1.0,0.0,0.0,1.0
50,A Sunday well spent watching #godzilla con Camilo :),1.0,0.0,0.0,1.0
51,The good old days! #alreadyoverwinterandithasntevenstarted #dedicatedendurancetraining 📷 credit @bicycle.racing.pictures,1.0,0.0,0.0,1.0
52,#supercross_cup day 2.,1.0,0.0,0.0,1.0
53,When the ravages of time destroys the cover of one of your favourite books but fixing it means losing the inscription 😢 #cortázar,1.0,0.0,0.0,1.0
54,Cortázar safely back on the shelf. #crossneverends #cortázar,1.0,0.0,0.0,1.0
55,All those weekends away racing resulted in an 😬 oops. #pigeonsofinstagram,1.0,0.0,0.0,1.0
56,I feel you miso.,1.0,0.0,0.0,1.0
57,Camilo made a great little book about our trip to #mexico,1.0,0.0,0.0,1.0
58,You are welcome.,1.0,0.0,0.0,1.0
59,My old hometown. Thanks for the coup #hillaryclinton,1.0,0.0,0.0,1.0
60,Estiló Camilo.,1.0,0.0,0.0,1.0
61,Winnie was never one to give up the co-pilot position. #coarsefabrication,1.0,0.0,0.0,1.0
62,He visto días mejores but at least my hair is on point.  #theseveredpenisexudedasingularsomehowunspeakableauraofsadness #murakamiharuki,1.0,0.0,0.0,1.0
63,The Cienfuegos clan is mostly hair & eyeballs.,1.0,0.0,0.0,1.0
64,Someone is looking more Brooklyn each day.,1.0,0.0,0.0,1.0
65,"Circa 30-35 years ago when I still lived in Mexico and boxed. The mustache was still barely possible, and I would get picked up by the cops on a regular for some reason.",1.0,0.0,0.0,1.0
66,I HAVE gotten viejo see?!,1.0,0.0,0.0,1.0
67,"""Every consciousness won over to indifference and selfish defeatism is a victory for the enemy."" #galeano",1.0,0.0,0.0,1.0
68,When I finish cleaning the floors and one of the cats vomits on them. Camilo caught my mood and face perfectly.,1.0,0.0,0.0,1.0
69,#samuraipapa esta ramen 🍜 mata!!,1.0,0.0,0.0,1.0
70,#waybackwednesday #messlife #messkollective,1.0,0.0,0.0,1.0
71,How this thing work? This looks tasty! #kidpigeon,1.0,0.0,0.0,1.0
72,Camilo’s Los Amigos.,1.0,0.0,0.0,1.0
73,Wonderment. #tonymedina #poesiaforthepeople,1.0,0.0,0.0,1.0
74,Blu’s first walk of 2018,1.0,0.0,0.0,1.0
75,“How do the cats get along with the pigeons?”,1.0,0.0,0.0,1.0
76,— Adam Zagajewski #poesia,1.0,0.0,0.0,1.0
77,Camilo’s logo for his band The Cosmo Cats.,1.0,0.0,0.0,1.0
78,This awesome mural in the east village Japanese restaurant!,1.0,0.0,0.0,1.0
79,Oh no Camilo watch out! @ca.milo2373,1.0,0.0,0.0,1.0
80,Meme Wars: The Creative Destruction of Neoclassical Economics.,1.0,0.0,0.0,1.0
81,High School students protest education cuts in Chile. March 2012 — Meme Wars: The Creative Destruction of Neoclassical Economics.,1.0,0.0,0.0,1.0
82,USA #1!,1.0,0.0,0.0,1.0
83,Timing is everything in cycling. Opening your last remaining beer for the key moments of #montezoncolancalan shows pro level timing.,1.0,0.0,0.0,1.0
84,Stage 19.,1.0,0.0,0.0,1.0
85,I love it that Jim Carrey is calling out the Democrats for their pathetic response to trump.,1.0,0.0,0.0,1.0
86,"Living in New York one would never guess there is an ecological crisis of any sort. Given the nonexisting leadership from the city, it is up to us (it has always been up to us). Do your part, and make a conscious effort to say NO to plastic.",1.0,0.0,0.0,1.0
87,No shit.,1.0,0.0,0.0,1.0
88,"If you haven't yet seen this documentary, a visual examination of Fanon’s masterwork The Wretched of the Earth, it is available on Amazon & iTunes. So what you waiting on? Get on it. #fanon #concerningviolence #decolonize #palestina",1.0,0.0,0.0,1.0
89,So on point!,1.0,0.0,0.0,1.0
90,Playing bill withers Ain’t No Sunshine,1.0,0.0,0.0,1.0
91,Mi corazón con el pueblo guatemalteco. Foto: Johan Ordóñez /AFP/ Getty images,1.0,0.0,0.0,1.0
92,Quemando las calles de Tulum.,1.0,0.0,0.0,1.0
93,Camilo and this luchador are totally calling #trumpthechump out; let’s see if the fucker comes.,1.0,0.0,0.0,1.0
94,Rompiendo madres indeed.,1.0,0.0,0.0,1.0
95,I love mi bicho y sus 👁 ojos 👀 🤗,1.0,0.0,0.0,1.0
96,#godcomplex,1.0,0.0,0.0,1.0
97,Uruguay! Uruguay! Uruguay! #copamundial #laceleste,1.0,0.0,0.0,1.0
98,"When you are finally fat enough to wear your old team kit again. Also, someone clean this mirror. #mightyriders",1.0,0.0,0.0,1.0
99,When your human won't spring for ac and is hot af. #gatosdeinstagram,1.0,0.0,0.0,1.0
100,Carlitos and his espresso addiction. #pigeonsofinstagram,1.0,0.0,0.0,1.0
101,Camilo & I had a draw instead of watch tv day. Slightly proud that I am slightly better at it than him still. Slightly.,1.0,0.0,0.0,1.0
102,Camilo’s crab.,1.0,0.0,0.0,1.0
103,Brunch good times @fathersbk,1.0,0.0,0.0,1.0
104,Camilo’s squid.,1.0,0.0,0.0,1.0
105,Camilo’s lora.,1.0,0.0,0.0,1.0
106,Camilo’s awesome blue-footed booby.,1.0,0.0,0.0,1.0
107,Mine took me twice as long as his did and I don’t think is any better than his.,1.0,0.0,0.0,1.0
108,Oh yeah Camilo’s first cast!🤟🏽🐐,1.0,0.0,0.0,1.0
109,Camilo’s portrait of su papá.,1.0,0.0,0.0,1.0
110,"Sometimes designers get too wrapped up in the proper use of colour. This, this is the proper use of colour.",1.0,0.0,0.0,1.0
111,Oh shit! Throwback Tuesday from @bolger.amy in her book: New York Alleycats #mightyriders,1.0,0.0,0.0,1.0
112,I used to race bikes. Now I race to the fridge. (*'ω'*),1.0,0.0,0.0,1.0
113,Carlitos you are not my supervisor!,1.0,0.0,0.0,1.0
114,UMASS Amherst keeping it real. #fucknazis #punchmorenazis,1.0,0.0,0.0,1.0
115,#facts,1.0,0.0,0.0,1.0
116,#messlife #messkollective,1.0,0.0,0.0,1.0
117,#messlife  #marscycles #messkollective,1.0,0.0,0.0,1.0
118,Francisco X Alarcón #poesia,1.0,0.0,0.0,1.0
119,Costa Rica sos chingona!,1.0,0.0,0.0,1.0
120,Costa Rica #descubrecostarica #uvita,1.0,0.0,0.0,1.0
121,Costa Rica #descubrecostarica #uvita,1.0,0.0,0.0,1.0
122,Costa Rica.,1.0,0.0,0.0,1.0
123,#manuelantonio Costa Rica,1.0,0.0,0.0,1.0
124,Pocas cosas son tan deliciosas como leer un libro tomándote un buen café. #quecomamierdaeltrabajo #simplepleasures,1.0,0.0,0.0,1.0
125,I am posting this only cuz travel funk is forcing me to have a shower and I will lose my surfer's hair 😭,1.0,0.0,0.0,1.0
126,#yurikochiyama #malcolmx forever and ever inspire. Thank you for making me family Yuri. Nothing made me happier than seeing you eat my black bean dishes.,1.0,0.0,0.0,1.0
127,Blu.,1.0,0.0,0.0,1.0
128,"Is there a happier day in the life of a cyclist than seeing your pedacito de tí finally enjoying it for himself? No, no there isn't. #teamhubert #messkollective #crossiscoming",1.0,0.0,0.0,1.0
129,Miso.,1.0,0.0,0.0,1.0
130,Sí porfa!,1.0,0.0,0.0,1.0
131,La velocidad es la vida.  #messkollective,1.0,0.0,0.0,1.0
132,Start them young.,1.0,0.0,0.0,1.0
133,Legs is creeping me out 🤭. Don't believe me? Zoom in on his face.,1.0,0.0,0.0,1.0
134,"Here’s an idea, how about we let women decide what to do with their own bodies.",1.0,0.0,0.0,1.0
135,One day all supporters of the occupation will be remembered with the same disdain as the supporters of apartheid in South Africa.  #palestinalibre #nowhitewashingwarcrimes,1.0,0.0,0.0,1.0
136,"Europa can suck it, somos indígenas.",1.0,0.0,0.0,1.0
137,Fuck yeah!!,1.0,0.0,0.0,1.0
138,Pitito :),1.0,0.0,0.0,1.0
139,Goodbye third grade! Ahora a disfrutar de las vacas!!,1.0,0.0,0.0,1.0
140,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
141,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
142,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
143,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
144,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
145,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
146,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
147,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
148,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
149,If you are in Nueva York go see #beyondthestreets in the one and only Brooklyn. #brooklynisforlovers,1.0,0.0,0.0,1.0
150,Camilo or his papá had we been around in that era.,1.0,0.0,0.0,1.0
151,#sometimebacksundays,1.0,0.0,0.0,1.0
152,Blu.,1.0,0.0,0.0,1.0
153,#beyondthestreets,1.0,0.0,0.0,1.0
154,#beyondthestreets the antimilitarism of #cleonpatterson is very much on point.,1.0,0.0,0.0,1.0
155,#beyondthestreets #brooklyniswhereitsat,1.0,0.0,0.0,1.0
156,"#brooklyniswhereitsat but you know, it’s still #gringolandia #beyondthestreets",1.0,0.0,0.0,1.0
157,#beyondthestreets one of my favourite pieces by #shepardfairey,1.0,0.0,0.0,1.0
158,#beyondthestreets,1.0,0.0,0.0,1.0
159,"Fine, have the pizza. #beyondthestreets",1.0,0.0,0.0,1.0
160,#beyondthestreets,1.0,0.0,0.0,1.0
161,#beyondthestreets,1.0,0.0,0.0,1.0
162,#beyondthestreets,1.0,0.0,0.0,1.0
163,#beyondthestreets,1.0,0.0,0.0,1.0
164,#beyondthestreets,1.0,0.0,0.0,1.0
165,Gots to go home some time Camilo... #beyondthestreets,1.0,0.0,0.0,1.0
166,"We are in #tulum and this awesome brother helped hunt down all the parts to make beach cruiser #crossiscoming  race ready. Switched the rear cog to an 18, found me a long enough seatpost, and found me a zero rise campy stem :)",1.0,0.0,0.0,1.0
167,Camilo me robó mi cadena. #tulum,1.0,0.0,0.0,1.0
168,"Since the day you found me and asked for help; you were always the sweetest, cuddliest, funniest little friend. I love you. I miss you.  Leggies died this morning of kidney failure.",1.0,0.0,0.0,1.0
169,"This device is called a “spiked muzzle”. It is designed to cause so much pain to the mother that she will push her baby away whenever the baby tries to feed. 
There is no point in trying to present a solid argument against the exploitation of nonhuman animals; you know it is wrong. It is like trying to present an argument in defence of decency. Cruelty is wrong, you know it is, there is no need to provide an argument for why cruelty is wrong. 
Does the temporary satisfaction of your taste buds justify this and the many other horrors this industry is about?  #giveafuck #notanobject #a_being_not_a_thing",1.0,0.0,0.0,1.0
170,"Even though Camilo defiled my photo, this still happened! #tulum",1.0,0.0,0.0,1.0
171,Out with ma girl Flecha.,1.0,0.0,0.0,1.0
172,Hoy día es International Indigenous Peoples Day. You couldn’t kill us all pendejos.,1.0,0.0,0.0,1.0
173,Francisco x Alarcón,1.0,0.0,0.0,1.0
174,Happy to see progress in my little homie’s skills :) #lifeskills #enboxeowetrust,1.0,0.0,0.0,1.0
175,"Damn, when little homie starts taking your shirts!",1.0,0.0,0.0,1.0
176,And just like that he is full-on Bushwick! #trackbikesisforthekids #pinarellofuckyeah #donttellhismom #havencycles,1.0,0.0,0.0,1.0
177,"The weekly phone calls to my moms always, always, always eventful. Though solid advice, I already knew all these.",1.0,0.0,0.0,1.0
178,Best start to the day I have had in a long time. #poetryrulestheworldaroundme #ernestocardenal #nica4life,1.0,0.0,0.0,1.0
179,This was so good! If it comes to your city don’t sleep on it! #kapuscinski,1.0,0.0,0.0,1.0
180,Vancouver.  #dopeassshit,1.0,0.0,0.0,1.0
181,#thatvancouverlife,1.0,0.0,0.0,1.0
182,Todos los días y siempre. #comamierdacolón #comamierdacolonialismo #shepardfairey #obey,1.0,0.0,0.0,1.0
183,Garol looking magnificent  greeting clients at #havencycles,1.0,0.0,0.0,1.0
184,Safety third. #bikeTaxiWatts,1.0,0.0,0.0,1.0
185,#messkollective next generation.,1.0,0.0,0.0,1.0
186,Pitito assures me has totally filed taxes before.,1.0,0.0,0.0,1.0
187,"Blu, aka mc poopy poops.",1.0,0.0,0.0,1.0
188,Hey just a quick hello to remind you to fight the power! 👊🏾✊🏽,1.0,0.0,0.0,1.0
189,Elevated bike parking. #throwbackthursday #messkollective #messlife,1.0,0.0,0.0,1.0
190,Noches de sushi y amor con Camilo.,1.0,0.0,0.0,1.0
191,Natalie Diaz #firstpeoples #todaviaaquí,1.0,0.0,0.0,1.0
192,"Roque, siempre Roque. #roquedalton",1.0,0.0,0.0,1.0
193,"Culebra, Puerto Rico #culebrapuertorico",1.0,0.0,0.0,1.0
194,"Culebra, Puerto Rico. Niños who read. #zacostacos los mejores burros :) their hours are bullshit tho  #culebrapuertorico",1.0,0.0,0.0,1.0
195,"Dammit, now we have to go back to city life.  #culebrapuertorico",1.0,0.0,0.0,1.0
196,Oh look the first dirty mirror selfie of the year. #thentvs #comamierdacolonialismo,1.0,0.0,0.0,1.0
197,Lo único que deseó este año. #amorrevolucionario,1.0,0.0,0.0,1.0
198,Camilo at work :),1.0,0.0,0.0,1.0
199,A nice suit and a smile can't hide the fact that trying to ram an ecological disaster through lands never ceded is a colonial act.  We are done with colonialism. #fuckyopipeline #wetsuwetenstrong #colonialism_is_bad_medicine,1.0,0.0,0.0,1.0
200,#tulum,1.0,0.0,0.0,1.0
201,#tulum,1.0,0.0,0.0,1.0
202,Cuando little Cincuentafuegos starts raiding big Cienfuegos’s closet.,1.0,0.0,0.0,1.0
203,"What?! Biden? Nah, not Biden, he is astute, aware and totally not tone deaf. Biden is greaaaaat. He is super fuckin’ great. He marched in apartheid South Africa you know. He broke Nelson Mandela out of prison. He was the first astronaut to land on Mars. He taught Muhammad Ali how to box. Taught the Mayans how to make chocolate. He is super with it.",1.0,0.0,0.0,1.0
204,"Blu was going to catch a show in the east village and then I told him that nyc is on this bullshit fare hike #ftp and then he was like nah, fuck that. #nofarehikeyougreedymofos",1.0,0.0,0.0,1.0
205,Needed.,1.0,0.0,0.0,1.0
206,Sharpening skills.  #enboxeowetrust,1.0,0.0,0.0,1.0
207,The revolution is not going to make itself. #tkostudios,1.0,0.0,0.0,1.0
208,Who wore it best?,1.0,0.0,0.0,1.0
209,"Even though Carlitos moved out a couple of months ago, he still misses his old man and comes visits. #pigeonsofinstagram",1.0,0.0,0.0,1.0
210,Blu finds out he can also catch the covid.,1.0,0.0,0.0,1.0
211,Sibling day you say?,1.0,0.0,0.0,1.0
212,"“Woah, definitely doesn’t skip leg day!” Camilo nails it once again 🤣",1.0,0.0,0.0,1.0
213,When your application for covid relief is finally complete y el pinche portal crashes. #messkollective,1.0,0.0,0.0,1.0
214,That #trainerlife,1.0,0.0,0.0,1.0
215,"Para el mundo
No somos nada
Pero aquí juntos
–tú y yo–
Somos el mundo

#dialecticadelamor #franciscoxalarcón",1.0,0.0,0.0,1.0
216,What a babe of an old man :),1.0,0.0,0.0,1.0
217,In tonight’s episode of Commies Being Commies... #versobooks #commiesbeingcommies,1.0,0.0,0.0,1.0
218,Estiló cuarentena. #micipoteeschingon,1.0,0.0,0.0,1.0
219,Cunningham is looking different since last year 🤔,1.0,0.0,0.0,1.0
220,“For every atom belonging to me as good belongs to you” – Whitman,1.0,0.0,0.0,1.0
221,Sometimes a nice sunny day can make all sorts of shit bearable.,1.0,0.0,0.0,1.0
222,#mimicry 🤔,1.0,0.0,0.0,1.0
223,Blu & Garol had a thing. A photo essay. #havencycles,1.0,0.0,0.0,1.0
224,"Can i just say how much i have enjoyed reading this book? 
Robert Young did a stellar job in making the obtuse clear, and the seemingly irrelevant to our times, absolutely relevant.  It even made me abandon decades old assumptions, and that is saying something.  History, Marxism, Sartre, you look so different now.  Bhabha and Spivak, nice to meet you again.  #fuckyoureuroncentricity #nevertoolatetodecolonize",1.0,0.0,0.0,1.0
225,Carcass-free since 1988. #beetxbeet,1.0,0.0,0.0,1.0
226,MEME WARS: The destruction of neoclassical economics. #adbusters,1.0,0.0,0.0,1.0
227,Artwork from: @tiplerteaches,1.0,0.0,0.0,1.0
228,Know thy enemy. https://thoughtmaybe.com/cointelpro-101/,1.0,0.0,0.0,1.0
229,"Still sick and tired of having to assert  this point.  White people, it is not your place to tell us how we should respond to our own oppression.  If you have shit to say, say it to each other; say it to Cuomo, who just fucking said of the police that “99.9% of them are good hard working people”. Further validating the feeling that this shit system is murderous by intent.",1.0,0.0,0.0,1.0
230,You better believe Camilo esta creciendo con los ojos abiertos.,1.0,0.0,0.0,1.0
231,@taikawaititi,1.0,0.0,0.0,1.0
232,Te quiero mucho mi amor.,1.0,0.0,0.0,1.0
233,– Boots Riley,1.0,0.0,0.0,1.0
234,This important. Please come out.,1.0,0.0,0.0,1.0
235,Justice for Almi Francisca Cruz Amador. Yet another woman murdered while her murderer remains free. Honduras se despierta.,1.0,0.0,0.0,1.0
236,#abolishthepolice,1.0,0.0,0.0,1.0
237,#sartre_is_my_homeboy,1.0,0.0,0.0,1.0
238,#sometimebacksaturdays,1.0,0.0,0.0,1.0
239,@fotoflaneuse,1.0,0.0,0.0,1.0
240,Pedacito de mi corazón.,1.0,0.0,0.0,1.0
241,“We got hella people/they got helicopters” #bootsriley #thecoup,1.0,0.0,0.0,1.0
242,@wolpalestine #comamierdacolonialismo #palestinalibre #landback,1.0,0.0,0.0,1.0
243,"Police violence is policing; it is not exceptional, it IS policing.  The police is the guard-dog of the rich.  #abolishthepolice #fuckthepolice @sibomanart",1.0,0.0,0.0,1.0
244,"Nos robaron nuestras tierras.  Nos cortaron nuestro cabello, y nos forzaron a sus escuelas.  Prohibieron nuestra lengua para que dejáramos de existir. Nos trataron de borrar pero aquí estamos.
#comamierdacolonialismo @li_lightfoot",1.0,0.0,0.0,1.0
245,"Facing this resistance and daring to “talk race,” to be as political as we wanna be, is the contemporary challenge to all black women, especially progressive black females on the left.  #bellhooks #estoyenamoradodebellhooks",1.0,0.0,0.0,1.0
246,@tak_nyc,1.0,0.0,0.0,1.0
247,There’s no reforming your oppressors. #defundthepolice #abolishpolice #acab #gringolandia,1.0,0.0,0.0,1.0
248,My #bffsforever and I had a good day @ Cunningham. #marscycles,1.0,0.0,0.0,1.0
249,Trails got a bit more advanced @ Cuningham today. #marscycles #trackbikessavelives #havencycles,1.0,0.0,0.0,1.0
250,What amuses me most about this photo is how all serious and hard we look when we are all a bunch of chill ass clowns :) #wemisscross,1.0,0.0,0.0,1.0
251,When you have had another birthday and you are 98 years old so you must document it cuz death is ringing your buzzer downstairs but none of the filters can hide the bags under your eyes.,1.0,0.0,0.0,1.0
252,"Blu, aka MC Poopie Poops.",1.0,0.0,0.0,1.0
253,"New York, sometimes you are alright :) #defundthepolice #abolishpolice",1.0,0.0,0.0,1.0
254,Plant sitter anyone?,1.0,0.0,0.0,1.0
255,Todavía aquí. Still fighting. #comamierdacolonialismo,1.0,0.0,0.0,1.0
256,Released from my desk bondage for the day. #messkollective #marscycles,1.0,0.0,0.0,1.0
257,#sentimentalsundays,1.0,0.0,0.0,1.0
258,Oh well can’t win them all. Rainy days #messlife #messkollective #freightbaggage,1.0,0.0,0.0,1.0
259,"Yes, I am a beautiful mofo. What’s your point?",1.0,0.0,0.0,1.0
260,#newkitday who dis?! #messkollective,1.0,0.0,0.0,1.0
261,Miso has been going through some shit the last 2 months and is going to lose her eye la pobrecita.,1.0,0.0,0.0,1.0
262,Día libre happiness :) #cyclecross #norcobikes #cunningham,1.0,0.0,0.0,1.0
263,"Palestina is an open wound for many of us. For those who know the violence of war and starvation first hand, no public relations machine can erase the truth. Free occupied Palestina!",1.0,0.0,0.0,1.0
264,One day este pinche cabron is going to remember to clean the mirror.  #zamaze,1.0,0.0,0.0,1.0
265,"Commies being commies, part 2.  #plutopress #commiesbeingcommies",1.0,0.0,0.0,1.0
266,Ramen y libros. #versobooks,1.0,0.0,0.0,1.0
267,"Has quarantine life affected me? No, why do you ask?",1.0,0.0,0.0,1.0
268,Who remembers these cows? #throwbackthursday,1.0,0.0,0.0,1.0
269,Reading is ALWAYS fun.,1.0,0.0,0.0,1.0
270,"Beautiful sweet Miso, I will always miss your cute nose and tiny, tiny paws. You were so loving; your warmth and affection will leave a void that only pain can fill. Descansa mi amor.",1.0,0.0,0.0,1.0
271,Camilito’s very nice drawing de su papá :),1.0,0.0,0.0,1.0
272,When you are no longer the fatty you used to be and can open the drawer of favourite jerseys from decades ago. #corneroftears #corneroftearsclosetrotation,1.0,0.0,0.0,1.0
273,Miren quien cumplió 11 años!!,1.0,0.0,0.0,1.0
274,The face you make cuz @sixnguyen makes everyone look super feo next to him. @betty.rides for the snap,1.0,0.0,0.0,1.0
275,The amazing @choichunleung once again on point.,1.0,0.0,0.0,1.0
276,Architecture #building #nyc,0.0,0.0,1.0,0.0
277,"“I look good, post it” - Sarah May",0.0,1.0,0.0,0.0
278,"Starry Night, Holiday Lights

344/366",1.0,1.0,0.0,0.0
279,345/366,1.0,1.0,0.0,0.0
280,346/366,1.0,1.0,0.0,0.0
281,347/366,1.0,1.0,0.0,0.0
282,348/366,1.0,1.0,0.0,0.0
283,349/366,1.0,1.0,0.0,0.0
284,350/366,1.0,1.0,0.0,0.0
285,351/366,1.0,1.0,0.0,0.0
286,"Scallop scampi

352/366",1.0,1.0,0.0,0.0
287,353/366,1.0,1.0,0.0,0.0
288,354/366,1.0,1.0,0.0,0.0
289,355/366,1.0,1.0,0.0,0.0
290,"Time for gingerbread!

356/366",1.0,1.0,0.0,0.0
291,"Beyond the limits of an iPhone resolution, but you can kinda tell there’s a conjunction going on there. 

Happy Winter Solstice!",1.0,1.0,0.0,0.0
292,357/366,1.0,1.0,0.0,0.0
293,358/366,1.0,1.0,0.0,0.0
294,359/366,1.0,1.0,0.0,0.0
295,360/366,1.0,1.0,0.0,0.0
296,361/366,1.0,1.0,0.0,0.0
297,362/366,1.0,1.0,0.0,0.0
298,Rain. Finally.,1.0,1.0,0.0,0.0
299,Almost swept away,1.0,1.0,0.0,0.0
300,363/366,1.0,1.0,0.0,0.0
301,364/366,1.0,1.0,0.0,0.0
302,365/366,1.0,1.0,0.0,0.0
303,"Good-bye 2020. An absolute car wreck of a year...

366/366",1.0,1.0,0.0,0.0
304,"See ya, 2020!",1.0,1.0,0.0,0.0
305,1/365,1.0,1.0,0.0,0.0
306,2/365,1.0,1.0,0.0,0.0
