,caption,I-E,S-N,T-F,J-P
341,ev office glico,0,0,0,0
342,fire one day black fire blackcoffee,0,0,0,0
343,ted01d anker aviot,0,0,0,0
349,brz abarth spider,0,0,0,0
355,nike,0,0,0,0
356,surface book2 surfacebook2,0,0,0,0
359,sky tree skytree,0,0,0,0
361,pixel3 pixel3,0,0,0,0
362,a7iii a7iii jpeg,0,0,0,0
367,toho,0,0,0,0
368,go,0,0,0,0
369,kitte tomica kitte,0,0,0,0
373,coffee,0,0,0,0
378,honda,0,0,0,0
381,iphone11pro ginza,0,0,0,0
388,iphone11 proapple store applestore iphone11pro,0,0,0,0
389,tokyo iphone 2019 rugby rugbyworldcup rugbyworldcup2019,0,0,0,0
390,apple store,0,0,0,0
391,tokyostation tokyo rugby rugbyworldcup2019,0,0,0,0
393,iphone11pro,0,0,0,0
396,skytree,0,0,0,0
398,statue ultraman,0,0,0,0
400,tsukiji,0,0,0,0
401,1,0,0,0,0
406,apple3 apple iphone airpodspro ginza,0,0,0,0
409,20142 5 shuricastle,0,0,0,0
410,paypay,0,0,0,0
411,haneda,0,0,0,0
413,au g,0,0,0,0
414,chillout,0,0,0,0
420,t shuri castle shuricastle,0,0,0,0
421,adobe photoshopcamera adobesensei sensei cat,0,0,0,0
422,starwars,0,0,0,0
423,cat,0,0,0,0
426,swatch swatch sistem51 bauhaus automatic,0,0,0,0
427,ueno zoo,0,0,0,0
429,rakuten mini google play store rakutenmini,0,0,0,0
430,coffee,0,0,0,0
431,umami humburger,0,0,0,0
434,airbus a350 jal jet a350,0,0,0,0
441,curry,0,0,0,0
443,sakura,0,0,0,0
444,sakura sakura2020,0,0,0,0
445,fuji,0,0,0,0
446,mttakao,0,0,0,0
458,sun,0,0,0,0
460,rfidiphoneandroid,0,0,0,0
470,magic,0,0,0,0
471,bridge,0,0,0,0
472,honda,0,0,0,0
473,subaru,0,0,0,0
478,freitag f77 ben,0,0,0,0
485,iphone 3gs,0,0,0,0
488,domestic pigagu,0,0,0,0
498,abarth,0,0,0,0
500,4gb 2,0,0,0,0
502,beer camera,0,0,0,0
506,pentax,0,0,0,0
508,sakura,0,0,0,0
509,604m,0,0,0,0
510,mirror,0,0,0,0
511,skytree,0,0,0,0
513,supermoon,0,0,0,0
520,boon,0,0,0,0
525,spring has come,0,0,0,0
527,red,0,0,0,0
529,heros,0,0,0,0
536,sunny day,0,0,0,0
541,minimini,0,0,0,0
543,100,0,0,0,0
547,enjoy,0,0,0,0
548,rx,0,0,0,0
549,head,0,0,0,0
550,qr,0,0,0,0
551,willkinon gingerale,0,0,0,0
552,tree,0,0,0,0
555,hairline,0,0,0,0
561,panda,0,0,0,0
572,squid,0,0,0,0
576,redbull,0,0,0,0
579,jump,0,0,0,0
584,et,0,0,0,0
587,from instaplus,0,0,0,0
588,no15,0,0,0,0
595,jasrac,0,0,0,0
598,c,0,0,0,0
599,7up,0,0,0,0
600,panda,0,0,0,0
601,fish,0,0,0,0
610,instaplus daido minimalb,0,0,0,0
611,ana gundam,0,0,0,0
612,sunset view on airplane,0,0,0,0
620,shadow,0,0,0,0
621,jump,0,0,0,0
622,splash,0,0,0,0
624,instagoodies,0,0,0,0
626,lion,0,0,0,0
627,mirror,0,0,0,0
628,airport,0,0,0,0
629,goku,0,0,0,0
631,canon,0,0,0,0
635,gundam,0,0,0,0
639,unko cloud,0,0,0,0
640,turn,0,0,0,0
646,line art,0,0,0,0
648,nike air force i,0,0,0,0
649,timberland eath keepers,0,0,0,0
650,pfpgpd apjgfpvpvp pvflf flgpg,0,0,0,0
651,instagram 20,0,0,0,0
652,fujiyama,0,0,0,0
654,red tower,0,0,0,0
655,sumida river,0,0,0,0
656,thumbnails,0,0,0,0
657,gundam,0,0,0,0
658,spider,0,0,0,0
659,train akihabara jr sobu,0,0,0,0
661,bar newtype gundam,0,0,0,0
665,starwars r2d2,0,0,0,0
668,starbackscoffee logo sign,0,0,0,0
669,beach jet okinawa,0,0,0,0
670,mms,0,0,0,0
671,mms,0,0,0,0
675,beer,0,0,0,0
682,chars counterattack,0,0,0,0
683,zoo ueno birds tokyo,0,0,0,0
685,24,0,0,0,0
686,skytree,0,0,0,0
688,nex,0,0,0,0
690,kohaku ebisu,0,0,0,0
691,sticygram,0,0,0,0
692,skytree,0,0,0,0
693,cocacola,0,0,0,0
695,softcream sign ministop,0,0,0,0
696,mirror,0,0,0,0
697,sign,0,0,0,0
698,train station,0,0,0,0
699,night,0,0,0,0
700,shinjuku,0,0,0,0
701,2010 instaplus velvic skytree,0,0,0,0
702,starwars lego,0,0,0,0
704,do you know a1 source a1 okinawa source,0,0,0,0
707,asakusa sumida river ship himiko,0,0,0,0
710,sign okinawa naha,0,0,0,0
711,0 okinawa naha,0,0,0,0
712,jump,0,0,0,0
714,batman,0,0,0,0
718,tengu takaosan,0,0,0,0
720,ginza,0,0,0,0
721,cune,0,0,0,0
722,skytree,0,0,0,0
723,skytree,0,0,0,0
724,leaf,0,0,0,0
725,sign,0,0,0,0
727,canon camera pentax,0,0,0,0
730,cat,0,0,0,0
731,drink amuro japan gundam,0,0,0,0
732,drink japan gundam,0,0,0,0
733,sunset,0,0,0,0
734,mabyer okinawa,0,0,0,0
735,red,0,0,0,0
738,line,0,0,0,0
739,figure object art,0,0,0,0
741,toon,0,0,0,0
742,train,0,0,0,0
743,hdr hdr skytree,0,0,0,0
744,tolot,0,0,0,0
745,tolot,0,0,0,0
746,panda ueno zoo giantpanda,0,0,0,0
747,panda giantpanda ueno zoo,0,0,0,0
749,dinner time ueno giantpanda panda japan tokyo animal,0,0,0,0
750,animal tokyo panda zoo ueno giantpanda hip,0,0,0,0
752,s14,0,0,0,0
755,rain day,0,0,0,0
785,japan,0,0,0,0
787,ps vita psvita vita sony bic,0,0,0,0
789,mintia,0,0,0,0
792,panettone,1,1,0,0
793,giant mixer,1,1,0,0
794,the lisp machine,1,1,0,0
795,pizza today salad tomorrow,1,1,0,0
796,the gate to griffith observatory,1,1,0,0
797,the rolling stone guitar displayed at the mountain house,1,1,0,0
798,cactus garden at getty center,1,1,0,0
800,before taking down the christmas tree,1,1,0,0
801,tom scribner statue,1,1,0,0
803,shakes and burgers,1,1,0,0
804,seagull,1,1,0,0
805,time watch,1,1,0,0
806,mirage,1,1,0,0
807,diamineink,1,1,0,0
808,seagull,1,1,0,0
809,tea garden at san mateo,1,1,0,0
810,davenportbeach davenport,1,1,0,0
811,sunset at half moon bay,1,1,0,0
812,windowsxp,1,1,0,0
813,conservatory at chihulygardenandglass,1,1,0,0
814,amazonspheres,1,1,0,0
815,california poppy californiapoppy,1,1,0,0
816,snowy egret egret bird,1,1,0,0
817,whalebone whale,1,1,0,0
818,la brea tar pits,1,1,0,0
819,bobcat,1,1,0,0
820,moss beach,1,1,0,0
821,music box,1,1,0,0
822,mendocino,1,1,0,0
823,vintage mac,1,1,0,0
824,facebook arcade,1,1,0,0
825,marble canyon arizona,1,1,0,0
826,conservatory of flowers,1,1,0,0
827,bladerunner2020,1,1,0,0
828,tea timer,1,1,0,1
829,new trainers for the boys in the house,1,1,0,1
830,with and raspberries whats good saturday,1,1,0,1
831,turkey avocado and sriracha wholemeal bap for lunch noice,1,1,0,1
832,this new food caddy was stinking our kitchen so i stuck two screws into the big brown bin and now it hangs inside the bin that the bags will end up in anyway,1,1,0,1
833,first haircut today thanks the hairdresser in mothercare lisburn was amazing with charlie,1,1,0,1
834,quick ragu with avocado for dinner,1,1,0,1
835,grabbed my first today the kenyan batch coffee was unbelievable also got a mug,1,1,0,1
836,look dad no hands,1,1,0,1
837,protein pancakes for breakfast,1,1,0,1
838,seriously though these protein pancakes are ridiculous,1,1,0,1
839,smoked haddock chorizo with potatoes and vegetables well played,1,1,0,1
840,crepes this morning,1,1,0,1
841,mount stewart was nice this morning,1,1,0,1
842,lunch protein pancakes and greek yogurt with seeds and some honey unreal,1,1,0,1
843,black pudding and egg mayo bap from this morning delicious,1,1,0,1
844,bettys tea room today,1,1,0,1
845,always acceptable to drink at any time of the day in airports retreatful,1,1,0,1
846,on retreat weather is shite like,1,1,0,1
847,delivery,1,1,0,1
848,making pasta,1,1,0,1
849,bruschetta,1,1,0,1
850,fresh burrata and fig bruschetta,1,1,0,1
851,pizza,1,1,0,1
852,getting caught in the rain is much more fun now,1,1,0,1
853,a pint for me but just a water for him please,1,1,0,1
854,just like his dad,1,1,0,1
855,beach day,1,1,0,1
856,there they are,1,1,0,1
857,and relax,1,1,0,1
858,late night walks,1,1,0,1
859,show us your smile,1,1,0,1
860,day at the beach,1,1,0,1
862,peekaboo,1,1,0,1
863,little gamer,1,1,0,1
864,what a difference a year makes,1,1,0,1
865,2017bestnine,1,1,0,1
866,cheeky monkey,1,1,0,1
867,croque diablo at this morning amazing,1,1,0,1
868,farewell beard another winter done,1,1,0,1
869,decoratin,1,1,0,1
870,got super frustrated with the wifi speeds at a distance from our virgin superhub 3 which is shite btw ended up going for the netgear orbi top of this pic is standing on opposite side of house with superhub bottom is the orbi amazing difference,1,1,0,1
871,good tuesday,1,1,0,1
872,smiles all round,1,1,0,1
873,goodbye mandela hall,1,1,0,1
874,last night at stunning,1,1,0,1
875,my first experience with halloumi fries unreal,1,1,0,1
876,loves the glider bus,1,1,0,1
877,seeing the mangroves today with,1,1,0,1
878,canoeing,1,1,0,1
879,not a bad day to be honest,1,1,0,1
880,amazing scenery in zanzibar,1,1,0,1
881,last night in zanzibar an amazing time with the team,1,1,0,1
882,and home nofilter,1,1,0,1
883,this is the first time ive ever had a real christmas tree in my house smells amazing although we only had decorations for a much smaller tree,1,1,0,1
884,took charlie to see santa on a steam train today arrived in whitehead and waited on the train at the station for an hour charlie loved it i did not,1,1,0,1
885,wont be long until im ordering two coffees,1,1,0,1
886,christmas,1,1,0,1
887,wedding today thanks for having us,1,1,0,1
888,3 generations what an amazing day,1,1,0,1
889,amazing,1,1,0,1
890,not long until this one will be a big brother,1,1,0,1
891,part of the changing bag we got for the new baby arrived today,1,1,0,1
892,three years old today how,1,1,0,1
893,easter even though charlie is sick the idea of some chocolate later is helping him get through the day,1,1,0,1
894,max lunn 8lb 14oz born 12th may 2019,1,1,0,1
895,brothers,1,1,0,1
896,brothers,1,1,0,1
898,food on retreat has been incredible,1,1,0,1
899,4 months old where did that time go,1,1,0,1
900,ooof shelbys was delicious,1,1,0,1
901,ive been so proud of charlie since max arrived into our lives it must be challenging to be the centre of attention one day and then have to share that space with your brother charlie is growing up as a happy lovely little boy and having time off work to spend more time with my family is a great reminder of that,1,1,0,1
902,happy halloween,1,1,0,1
903,were deep in teething territory at the moment but max still manages a smile,1,1,0,1
904,these two absolutely light up everything about this time of year for me,1,1,0,1
905,im no stamp collector but these gaming stamps are great,1,1,0,1
906,i think max is tired,1,1,0,1
907,i think max is tired,1,1,0,1
908,who needs exercise when youre running around after these two,1,1,0,1
909,who needs exercise when youre running around after these two,1,1,0,1
910,so excited for the barbers to open again also hairplunk,1,1,0,1
911,lunch was very good today,1,1,0,1
912,and just like that max is 1 how,1,1,0,1
913,out on the water at carrickfergus,1,1,0,1
914,getting close to the end of what possibly has been the most stressful and everchanging year ever lucky for us were surrounded by our amazing family and friends who have provided incredible support and love during this nonsense year,1,1,0,1
915,theres me thinking ach need a photo of the boys for christmas little did i know that getting a photo of these two sitting still and smiling would be the biggest challenge this year,1,1,0,1
916,theres me thinking ach need a photo of the boys for christmas little did i know that getting a photo of these two sitting still and smiling would be the biggest challenge this year,1,1,0,1
917,charlie is 5 today its also his second birthday during a lockdown obsessed with mario,1,1,0,1
918,dog in sunset,1,1,0,1
919,first of june,1,1,0,1
920,another dinner turkey burgers with a side of cowboy caviar,1,1,0,1
921,rupert enjoys the sunset,1,1,0,1
922,when in malta,1,1,0,1
923,whitecaps,1,1,0,1
924,delayed in europe bring america to you brooklyn ipa burger fries,1,1,0,1
925,attaboy frederick brewed beer,1,1,0,1
926,its pronounced moo,1,1,0,1
927,emily explores featuring,1,1,0,1
928,if you guessed this burro lived in europe youd be surprisingly correct,1,1,0,1
929,apple picking terrorism,1,1,0,1
930,oh canada,1,1,0,1
931,field of dreams,1,1,0,1
932,lechazo,1,1,0,1
933,cold brew flask,1,1,0,1
934,vote even if it disturbs your nap,1,1,0,1
935,homemade parachute,1,1,0,1
936,a picture perfect day for a brew,1,1,0,1
937,what else would you expect out of my first fathers day,1,1,0,1
938,we had a party,1,1,0,1
939,uppers downers,1,1,0,1
940,office space 100,1,1,0,1
941,halloween 2020,1,1,0,1
942,a christmas lesson in three acts will spring for the plushie next time,1,1,0,1
943,once upon a time there was a momma and a daddy and they were kissing and saying thank you the end,1,1,0,1
944,kinda sorta like you a lot a bit,1,1,0,1
945,3 months with this goof i have loved every second of our time together anniversary datenight lovehim boyfriend,1,1,0,1
946,these are the best moments,1,1,0,1
947,last nights shenanigans oasis birthday celebration funtimes livemusic goodfood gooddrinks,1,1,0,1
948,myfavorite boyfriend nightout hescute,1,1,0,1
949,dat chris breezy concert tho chrisbrown chrisbrownconcert americanairlines partytour turntup,1,1,0,1
950,oursong,1,1,0,1
951,thank you for such a wonderful birthday,1,1,0,1
952,they make my heart happy,1,1,0,1
953,22 birthday daveandbusters,1,1,0,1
954,one of the greatest friends youll ever have rideordie lovemyboo birthday celebration,1,1,0,1
955,ssstour kehlani concert ellamai,1,1,0,1
956,one of the most incredible nights of my life plus i got to meet these 2 amazing artists ssstour kehlani concert lilracha marteen jahkoy,1,1,0,1
957,i love you austin roadtrip hopeoutdoorgallery graffitipark inspired iloveyou,1,1,0,1
958,this is generally how you make me feel all the time you have been my biggest supporter and have stayed by my side the whole time i am so thankful for the things we get to do together the time i get with you and all of the opportunities that have come our way to allow our relationship to grow i loved spending 3 days non stop with you and if anything it made me love you even more i cant wait to see whats in store for the future i wouldnt want to be doing this life with anyone else you have brought so much love joy happiness into my life in which i am forever grateful for and i only hope to reciprocate the same boyfriend lovehim appreciationpost lovemyteam,1,1,0,1
959,one of my favorite pictures cause i got your cute smile its already been a week since i got to spend 3 perfect days with my love in austin and i wouldnt of had it any other way but this just makes me wanna go back already roadtrip dayone kehlani concert rideordie boyfriend happyplace emos carlighting,1,1,0,1
960,got to spend the whole day with my favorite hooman fridaynight poolside firepit boyfriend qualitytime,1,1,0,1
961,sorrynotsorry for all of my bf pics,1,1,0,1
962,happy5months 61117,1,1,0,1
963,new favorite drink please make it permanent i will buy them nonstop olivegarden fridaynight muchneeded dinnerdate alcohol cocktail,1,1,0,1
964,love little chanceyyyyy poo prettyboy facetime,1,1,0,1
966,mauimargarita cheddars dinnerdate,1,1,0,1
967,happyplace,1,1,0,1
968,can we go back to austin yet roadtrip missingit,1,1,0,1
969,happy 6 months cheesecakefactory datenight 6months iloveyou,1,1,0,1
970,halfway through but missing you,1,1,0,1
971,home is where you are super happy my man is back home from florida,1,1,0,1
972,81117,1,1,0,1
973,newnails nailsdid finally peach silver sparkles,1,1,0,1
974,high on loving you,1,1,0,1
975,happy8months,1,1,0,1
976,great way to celebrate 8 months spend time with the fam onerepublic concert fitzandthetantrums hondacivictour dallas texas,1,1,0,1
977,nights to cuddle are the best,1,1,0,1
978,friday newnails red firstdayoffall autumn,1,1,0,1
979,waiting on this goose to turn 21 so we can buy drinks together jamaicancowboy texasroadhouse onemoremonth birthdayboy,1,1,0,1
980,my honey is finally 21 im so happy i got to celebrate your special day with you weve come so far and i look forward to continuing to make new memories with you iloveyou birthdayboy turnt21,1,1,0,1
981,i had the most incredible 3 day weekend with you it was full of amazing food drinks and lots of laughs cuddles my love for you grew even more than it already has and weve definitely grown closer i love you honey i just wanna do it all over again,1,1,0,1
982,this is definitely a new favorite picture of mine,1,1,0,1
983,happythanksgiving withmylove blessedwiththebest,1,1,0,1
984,favorite holiday with some of my favorite people im so blessed to have a second family to do these things with enchant christmas,1,1,0,1
985,the best gift of all,1,1,0,1
986,honestly one of the best dates ever the perfect way to celebrate our first year together i had so much fun last night and love doing new things with you themeltingpot happyanniversary,1,1,0,1
987,frenchombrenails thank you honey,1,1,0,1
988,thanks to my lovey always helping me out spoiling me happyvalentinesday,1,1,0,1
989,my love he never fails to make me feel loved and spoiled and im so appreciative of the lengths he goes to to put a smile on my face holiday or not its been a wonderful 2nd vday being able to spend the whole day with the one i love happyvalentinesday dinnerdate,1,1,0,1
990,these last few months have been crazy busy fun im so glad to have this amazing man by my side and i cant wait for the things we have planned shortly ahead of us i love youuuuu,1,1,0,1
991,i had a blast at the concert with my love kesha macklemore concert dosequispavilion vettix summernights,1,1,0,1
992,i never got around to posting this but on 71118 we celebrated a year a half together as a couple i couldnt be any happier with having him in my life and to have spent this time with someone i love and care about so much ian as crazy as life has been its been incredible to watch us grow and stick together through it all without your love and support i dont know how i would do it thank you for making me feel like the luckiest girl in the world for being my number 1 my soul team mate and my better half i love youuuu anniversary celebration dinner dinnerdate themeltingpot fondue fouryearsstrong,1,1,0,1
993,hi im studley dudley im a happy cartoon dog but i act more like a cat rather than the dog i actually am i love all kinds of hoomans and giving them lots of doggy kisses even though im stubborn and very spoiled youll see im the sweetest thing youll ever meet puppy puppylove doglover sharpei cockerspaniel mixbreed dudley,1,1,0,1
994,last night was once of the most lit funnest concerts ive ever gone too we got to meet see and which made our life lol it was dope being in the second row from the stage and i even helped ian get on stage with his favorite artist ever im glad i got to do it all with my love hoodieallen hoodieallentour meetandgreet hangingwithhoodie gianniandkyle dallastx soldout concert houseofblues,1,1,0,1
995,these pretty much show all of my emotions this is the best surprise i could ever ask for i am truly the happiest luckiest girl in the world to have such a special man in my life who i get to call mine forever im overjoyed for this next chapter in our lives together to be spending the rest of my life with you engaged engagementring fianc fiance loveofmylife foreverandalways,1,1,0,1
996,got free mr froze for my birthday,1,1,0,1
997,i dont post much on here so hi,1,1,0,1
998,nails yellownails design jewel black ombre nailart nailsonfleek summernails,1,1,0,1
999,so happy i got to spend a much needed vacation w you fianc vacation toweroftheamericas observationdeck sanantonio austin texas citylights,1,1,0,1
1000,first time got to meetsee dean edwards such a great show experience ps loved him on guycode comedyclub nightout datenight,1,1,0,1
1001,got vip for my vips texaslive globelivepark fridaynight squadnight vip family drinks pbr social,1,1,0,1
1002,camera roll dump of 2020,1,1,0,1
1003,new year new month camera roll dump,1,1,0,1
1004,another camera roll dump february edition thankfully i survived from getting all of my wisdom teeth pulled the snowmageddon been working hard and a lot im on track to being healthier and have my love by my side through it all much to be grateful for,1,1,0,1
1005,a different letter is burned out every year,1,1,0,0
1006,a different letter is burned out every year,1,1,0,0
1007,fantastic four,1,1,0,0
1008,fantastic four,1,1,0,0
1009,hmmmmmm deer trash,1,1,0,0
1010,hmmmmmm deer trash,1,1,0,0
1011,pixies,1,1,0,0
1012,pixies,1,1,0,0
1013,exiting empirestatebuilding,1,1,0,0
1014,exiting empirestatebuilding,1,1,0,0
1015,at the smithsonian folklife festival washingtondc washingtonmonument summer,1,1,0,0
1016,at the smithsonian folklife festival washingtondc washingtonmonument summer,1,1,0,0
1017,dc summer bugs washingtondc,1,1,0,0
1018,dc summer bugs washingtondc,1,1,0,0
1019,the lawn at nyc bryantpark,1,1,0,0
1020,the lawn at nyc bryantpark,1,1,0,0
1021,beautiful day in dc dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1022,beautiful day in dc dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1023,skin tones by byron kim at the national gallery of art byronkim dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1024,skin tones by byron kim at the national gallery of art byronkim dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1025,9112017 dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1026,9112017 dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1027,dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1028,dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp fox5dc,1,1,0,0
1029,bar and window,1,1,0,0
1030,bar and window,1,1,0,0
1031,strolling,1,1,0,0
1032,strolling,1,1,0,0
1033,iphone washingtondc uscapitol,1,1,0,0
1034,iphone washingtondc uscapitol,1,1,0,0
1035,national gallery of art washingtondc iphone,1,1,0,0
1036,national gallery of art washingtondc iphone,1,1,0,0
1037,national museum of the american indian and blue sky iphone bluesky,1,1,0,0
1038,national museum of the american indian and blue sky iphone bluesky,1,1,0,0
1039,national gallery of art iphone bluesky,1,1,0,0
1040,national gallery of art iphone bluesky,1,1,0,0
1041,wreathsacrossamerica,1,1,0,0
1042,wreathsacrossamerica,1,1,0,0
1043,deadflowers,1,1,0,0
1044,deadflowers,1,1,0,0
1045,foggy mornings and the washington monument dc washingtondc igdc dcitystyle acreativedc exposeddc dmv igdcfamily igdcers dmvnetwork exploredc washington instadc dctography fotodc dcfocused mydccool washingtondaily dmv forwp,1,1,0,0
